Date,Action,Shares,Balance,Profit
2022-03-22,Buy,135.09503321483322,900.1,
2022-03-23,Sell,0.0,1000.6646160420681,0.5647160420680848
2022-03-25,Buy,131.81577248717954,900.7646160420682,
2022-03-29,Sell,0.0,1013.4959526872916,12.731436645223454
2022-03-31,Buy,120.09881172870313,913.5959526872916,
2022-04-01,Sell,0.0,1014.3221095578344,0.7262568705428549
2022-04-05,Buy,117.95979155506107,914.4221095578345,
2022-04-07,Sell,0.0,1009.7979926752799,-4.624016882554471
2022-04-11,Buy,138.83713181480013,909.89799267528,
2022-04-13,Sell,0.0,1016.8105950966617,6.9127024213817805
2022-04-14,Buy,136.93118664677044,916.9105950966617,
2022-04-19,Sell,0.0,1023.2285904759891,6.31809537932736
2022-04-20,Buy,138.5670661622736,923.3285904759891,
2022-04-21,Sell,0.0,1027.9559056430053,4.627415167016252
2022-04-26,Buy,163.86008815506756,928.0559056430053,
2022-04-27,Sell,0.0,1028.7760575397308,0.7202518967255997
2022-04-29,Buy,165.55730062754236,928.8760575397308,
2022-05-03,Sell,0.0,1035.7056035731107,6.829646033380001
2022-05-09,Buy,195.480741107146,935.8056035731107,
2022-05-10,Sell,0.0,1038.393920314585,2.5884167414745036
2022-05-12,Buy,224.1031344506947,938.4939203145851,
2022-05-13,Sell,0.0,1048.575625632252,10.081805317666948
2022-05-20,Buy,266.4029333470645,948.675625632252,
2022-05-23,Sell,0.0,1051.7083463918202,3.03282075956821
2022-05-24,Buy,297.73722380952427,951.8083463918202,
2022-05-25,Sell,0.0,1061.671879441945,9.86363305012479
2022-05-26,Buy,235.9503329182066,961.7718794419451,
2022-05-27,Sell,0.0,1075.0806404581642,13.308861016219083
2022-06-01,Buy,217.44043840552305,975.1806404581642,
2022-06-02,Sell,0.0,1083.2872337118793,8.106693253714937
2022-06-03,Buy,238.55093379868117,983.3872337118793,
2022-06-08,Sell,0.0,1088.9898230372949,5.602689325415682
2022-06-13,Buy,280.1723109679914,989.0898230372949,
2022-06-15,Sell,0.0,1104.896389530393,15.806666493098021
2022-06-16,Buy,287.2077246015477,1004.996389530393,
2022-06-21,Sell,0.0,1127.547736812247,22.55144728185401
2022-06-23,Buy,237.51131111589547,1027.6477368122469,
2022-06-24,Sell,0.0,1135.8083899320031,8.16075311975635
2022-06-28,Buy,242.10024640521254,1035.908389932003,
2022-06-29,Sell,0.0,1132.3648236576003,-3.543466274402803
2022-06-30,Buy,259.13852848747007,1032.4648236576002,
2022-07-21,Sell,0.0,1172.7715571792842,40.306833521684055
2022-07-26,Buy,200.03194414509457,1072.871557179284,
2022-08-04,Sell,0.0,1205.620618012704,32.749160833419836
2022-08-05,Buy,167.47270933559957,1105.7206180127039,
2022-08-08,Sell,0.0,1206.7695778059845,1.0490597932805912
2022-08-09,Buy,172.09517554390996,1106.8695778059844,
2022-08-10,Sell,0.0,1212.947752233058,6.078274427073808
2022-08-11,Buy,168.9173370965354,1113.047752233058,
2022-08-15,Sell,0.0,1225.5317957235925,12.484143490534407
2022-08-22,Buy,165.8668977039934,1125.6317957235924,
2022-08-24,Sell,0.0,1229.3749454605172,3.7432497369247812
2022-08-31,Buy,180.0299423129187,1129.4749454605171,
2022-09-01,Sell,0.0,1230.1985246230317,0.7236791625145855
2022-09-02,Buy,186.02686188460973,1130.2985246230317,
2022-09-12,Sell,0.0,1251.159409039168,20.860984416136205
2022-09-13,Buy,163.8690008378943,1151.2594090391678,
2022-09-15,Sell,0.0,1257.3610720142808,6.101762975113033
2022-09-23,Buy,180.33137248496968,1157.4610720142807,
2022-09-28,Sell,0.0,1264.709036829685,7.248064815404277
2022-10-03,Buy,224.54813330069493,1164.8090368296848,
2022-10-04,Sell,0.0,1269.840660141167,5.0317233114822955
2022-10-11,Buy,278.1993805339943,1169.940660141167,
2022-10-13,Sell,0.0,1274.5466331715463,4.606073030379292
2022-10-14,Buy,311.2479212480237,1174.6466331715462,
2022-10-19,Sell,0.0,1292.008817632977,17.362284461430875
2022-10-20,Buy,304.061435587733,1192.108817632977,
2022-10-21,Sell,0.0,1299.113687539008,7.004969906031064
2022-10-24,Buy,292.3588252862762,1199.2136875390079,
2022-10-28,Sell,0.0,1315.7229308050855,16.509343266077593
2022-11-02,Buy,282.15582007248923,1215.8229308050854,
2022-11-03,Sell,0.0,1315.9311728015841,0.10834199649868026
2022-11-09,Buy,433.97343792561264,1216.031172801584,
2022-11-11,Sell,0.0,1342.2282562768353,26.197183475251336
2022-11-14,Buy,363.99292492206007,1242.3282562768352,
2022-11-15,Sell,0.0,1346.3082775225123,3.9801212456771395
2022-11-16,Buy,382.603570047512,1246.4082775225122,
2022-11-17,Sell,0.0,1341.460212381063,-4.947965141449188
2022-11-21,Buy,504.54768225057063,1241.560212381063,
2022-11-23,Sell,0.0,1366.9573644417462,25.397252060683357
2022-11-29,Buy,414.6406143608214,1267.0573644417461,
2022-11-30,Sell,0.0,1385.8898697188574,18.832605277111284
2022-12-08,Buy,461.53675303543986,1285.9898697188573,
2022-12-09,Sell,0.0,1394.3586655853815,8.368895866524127
2022-12-13,Buy,570.6114313163197,1294.4586655853814,
2022-12-15,Sell,0.0,1388.0649299065783,-6.393635678803179
2022-12-27,Buy,30156.813274383632,1288.1649299065782,
2023-02-09,Sell,0.0,11190.331735147236,9802.166905240658
2023-02-14,Buy,298.1395236723553,11090.431735147236,
2023-02-15,Sell,0.0,11195.155246315855,4.723611168618817
2023-02-16,Buy,321.0220879267871,11095.255246315855,
2023-02-17,Sell,0.0,11201.716482018963,6.461335703107551
2023-02-21,Buy,337.8157769509205,11101.816482018963,
2023-02-23,Sell,0.0,11206.870997902257,5.054615883294119
2023-02-24,Buy,339.68023313221175,11106.970997902257,
2023-02-27,Sell,0.0,11218.85547498668,11.884577084421707
2023-03-02,Buy,364.2127408407871,11118.95547498668,
2023-03-03,Sell,0.0,11227.060196557964,8.104821571285001
2023-03-09,Buy,465.2393307060063,11127.160196557965,
2023-03-14,Sell,0.0,11242.880269920808,15.720173362843383
2023-03-15,Buy,416.8184369094403,11142.980269920808,
2023-03-16,Sell,0.0,11247.856598913437,4.876428992627837
2023-03-22,Buy,363.1163749138879,11147.956598913437,
2023-03-23,Sell,0.0,11249.0425128068,1.0860138933624626
2023-03-24,Buy,366.38089385984404,11149.1425128068,
2023-03-27,Sell,0.0,11250.640092117479,1.4976793106795014
2023-03-28,Buy,371.8931039459559,11150.74009211748,
2023-03-31,Sell,0.0,11273.025679405502,22.28568728802182
2023-04-10,Buy,394.6710488176434,11173.125679405503,
2023-04-11,Sell,0.0,11275.903715774932,2.7781363694284664
2023-04-12,Buy,416.30059958788206,11176.003715774932,
2023-04-13,Sell,0.0,11283.188253036438,7.184637261506367
2023-04-14,Buy,392.15621165150395,11183.288253036439,
2023-04-18,Sell,0.0,11282.19287434611,-1.0952786903276461
2023-04-20,Buy,549.4044346527639,11182.29287434611,
2023-04-21,Sell,0.0,11285.892971009414,3.6001966633044162
2023-04-26,Buy,660.6092500848592,11185.992971009415,
2023-04-28,Sell,0.0,11308.879353093107,22.88648208369206
2023-05-02,Buy,577.606087017769,11208.979353093107,
2023-05-08,Sell,0.0,11330.723615929699,21.74436283659169
2023-05-10,Buy,498.9545973354426,11230.8236159297,
2023-05-11,Sell,0.0,11336.469070613844,5.645554684144415
2023-05-15,Buy,517.713464799026,11236.569070613845,
2023-05-22,Sell,0.0,11374.952807715881,38.38383710203547
2023-05-24,Buy,403.16597753918353,11275.052807715881,
2023-06-13,Sell,0.0,11476.000578843752,100.94787112787037
2023-06-15,Buy,204.03798517182219,11376.100578843752,
2023-06-22,Sell,0.0,11481.78199173373,5.681512889976034
2023-06-26,Buy,226.82822291121732,11381.88199173373,
2023-07-05,Sell,0.0,11512.781894610805,30.900002877076417
2023-07-10,Buy,186.71794764782834,11412.881894610806,
2023-07-18,Sell,0.0,11527.345220800242,14.463426189435282
2023-07-21,Buy,198.5045757788705,11427.445220800242,
2023-07-24,Sell,0.0,11533.1839319967,5.73881119645857
2023-07-27,Buy,204.30060016935488,11433.2839319967,
2023-07-31,Sell,0.0,11541.007991794182,7.724159797481221
2023-08-09,Buy,224.89978657723887,11441.107991794182,
2023-08-10,Sell,0.0,11543.25255966328,2.1446678690980434
2023-08-18,Buy,280.81582366444934,11443.35255966328,
2023-08-21,Sell,0.0,11557.826677783756,14.4742181204751
2023-08-22,Buy,241.080920280972,11457.926677783757,
2023-08-23,Sell,0.0,11560.654798989643,2.7282212058858732
2023-08-24,Buy,247.30863176494856,11460.754798989643,
2023-08-25,Sell,0.0,11567.552530577877,6.797831588234914
2023-08-28,Buy,230.69776034796385,11467.652530577878,
2023-08-29,Sell,0.0,11581.469829553022,13.817398975144528
2023-08-30,Buy,202.66676211101048,11481.569829553022,
2023-08-31,Sell,0.0,11582.161350189212,0.5916206361900151
2023-09-01,Buy,220.2674322419638,11482.261350189212,
2023-09-05,Sell,0.0,11590.429756045669,8.168505856456264
2023-09-13,Buy,184.7844071574384,11490.52975604567,
2023-09-14,Sell,0.0,11593.228474771206,2.6988187255366682
2023-09-18,Buy,191.86164407578585,11493.328474771206,
2023-09-19,Sell,0.0,11593.9032041362,0.5748293649948835
2023-09-22,Buy,220.47676459581814,11494.003204136201,
2023-09-25,Sell,0.0,11595.342843996172,1.3397398599701233
2023-10-03,Buy,217.84882762335738,11495.442843996172,
2023-10-04,Sell,0.0,11605.79033940964,10.347595413467971
2023-10-05,Buy,198.46538594420906,11505.89033940964,
2023-10-06,Sell,0.0,11606.005708562678,0.1154691530377363
2023-10-13,Buy,210.85732053011864,11506.105708562678,
2023-10-17,Sell,0.0,11608.508629693808,2.4030211311295346
