Date,Action,Shares,Balance,Profit,Initial Balance,Final Balance,Total Profit,Percentage Change,Number of Trades,Buy Signals,Sell Signals
2022-03-21 00:00:00,Buy,170.55850554435492,900.1,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-03-23 00:00:00,Sell,0.0,1000.826730405746,0.7268304057459858,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-03-25 00:00:00,Buy,185.16926566665322,900.9267304057461,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-03-31 00:00:00,Sell,0.0,1004.76685816629,3.8402277605439963,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-04-01 00:00:00,Buy,188.54707869582,904.8668581662901,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-04-04 00:00:00,Sell,0.0,1006.3085155309484,1.4417573646582866,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-04-05 00:00:00,Buy,199.8905121249331,906.4085155309484,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-04-06 00:00:00,Sell,0.0,1005.0773495381035,-1.331065992844941,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-04-12 00:00:00,Buy,204.66212142883433,905.1773495381035,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-04-13 00:00:00,Sell,0.0,1005.4104415304372,0.23319199233370114,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-04-14 00:00:00,Buy,216.91230101783046,905.5104415304372,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-04-18 00:00:00,Sell,0.0,1004.36635607559,-1.1439854548472255,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-04-19 00:00:00,Buy,236.59365495542733,904.46635607559,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-04-20 00:00:00,Sell,0.0,1006.8331579109337,2.3669018353436115,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-04-21 00:00:00,Buy,238.8712849138921,906.9331579109337,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-04-26 00:00:00,Sell,0.0,1016.1211721025721,9.18811419163842,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-05-02 00:00:00,Buy,257.1210342390386,916.2211721025722,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-05-03 00:00:00,Sell,0.0,1017.2882160229052,1.0671439203330948,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-05-09 00:00:00,Buy,246.4940819490591,917.3882160229052,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-05-12 00:00:00,Sell,0.0,1025.7489959431714,8.360879920266129,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-05-13 00:00:00,Buy,235.15686112776282,925.8489959431714,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-05-20 00:00:00,Sell,0.0,1031.8853623283173,6.036466385145829,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-05-23 00:00:00,Buy,229.7369741461567,931.9853623283174,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-05-27 00:00:00,Sell,0.0,1046.186938568103,14.201676239785641,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-06-01 00:00:00,Buy,226.33460421954925,946.286938568103,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-06-02 00:00:00,Sell,0.0,1047.0722378409425,0.7853992728394985,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-06-06 00:00:00,Buy,240.37935027118672,947.1722378409426,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-06-07 00:00:00,Sell,0.0,1049.4587579442975,2.2866201033550055,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-06-14 00:00:00,Buy,417.14483123388044,949.5587579442976,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-06-16 00:00:00,Sell,0.0,1081.9259997158908,32.3673417715932,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-06-22 00:00:00,Buy,289.15600832185015,982.0259997158909,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-06-23 00:00:00,Sell,0.0,1086.9342677146824,4.908367998791476,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-06-29 00:00:00,Buy,281.67391947476426,987.0342677146824,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-07-05 00:00:00,Sell,0.0,1112.5845365615849,25.550368846902543,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-07-06 00:00:00,Buy,245.40700771775084,1012.6845365615849,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-07-07 00:00:00,Sell,0.0,1108.5019242528747,-4.182512308710187,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-07-08 00:00:00,Buy,264.7584048340281,1008.6019242528747,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-07-11 00:00:00,Sell,0.0,1112.8301626935513,4.228338440676637,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-07-20 00:00:00,Buy,263.23828707288953,1012.9301626935513,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-07-22 00:00:00,Sell,0.0,1135.5595395028245,22.62947680927313,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-07-26 00:00:00,Buy,221.78900135809448,1035.6595395028244,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-07-29 00:00:00,Sell,0.0,1151.220488751592,15.561049248767674,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-08-02 00:00:00,Buy,211.70413180402733,1051.320488751592,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-08-03 00:00:00,Sell,0.0,1153.6678685658771,2.3474798142852222,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-08-05 00:00:00,Buy,221.96069307545008,1053.767868565877,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-08-08 00:00:00,Sell,0.0,1157.0503034620797,3.282534896202563,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-08-09 00:00:00,Buy,221.24097744360884,1057.1503034620796,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-08-10 00:00:00,Sell,0.0,1162.4092248906506,5.25902142857116,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-08-11 00:00:00,Buy,223.63673958765966,1062.5092248906506,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-08-16 00:00:00,Sell,0.0,1165.9348650114862,3.4257401208356555,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-08-17 00:00:00,Buy,229.41494345718888,1066.034865011486,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-08-18 00:00:00,Sell,0.0,1167.794387468281,1.759622456794844,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-08-24 00:00:00,Buy,258.8749759637751,1067.894387468281,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-08-25 00:00:00,Sell,0.0,1173.4193216772564,5.525034208975555,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-09-01 00:00:00,Buy,297.4628188070952,1073.5193216772564,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-09-02 00:00:00,Sell,0.0,1180.729058352991,7.209836675734664,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-09-06 00:00:00,Buy,310.9038909467145,1080.8290583529908,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-09-07 00:00:00,Sell,0.0,1188.6631438474556,7.83418549446462,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
